palavras,n_ocorrencias,desvio_padrao
monde,9,279.717168662284
uniongrl,5,279.588089875087
duet,6,279.437112782107
assistants,7,279.421340835459
deepfake,8,279.397022941497
rugby,5,279.242725957186
quantify,3,278.864363684809
samtoyou,7,278.064398159508
tesco,5,277.804247627714
gemstones,3,277.471319839246
concoct,3,277.456903560415
dynamite,42,277.156221015967
rethugnicans,6,276.997232236473
mowed,6,276.979180926413
turbulent,13,276.852061763253
bullock,4,276.756662069768
wrestling,58,276.636981730972
berry,10,276.589969288677
quad,5,275.985869203479
collides,3,275.946250804995
awed,3,275.795213881605
timlee,11,275.486412798097
aew,62,275.406598601316
wowt,3,274.714397147292
cheeseburger,15,274.302231645523
removable,4,273.613322044085
succinctly,7,273.497540687123
bray,5,273.464805779464
tumbler,3,272.802126091422
cashes,4,272.788685004834
gbeebies,6,272.48265999876
dayum,10,272.464146469056
pedantic,3,272.353324439657
même,6,271.261988982361
flares,5,270.881523917745
humping,5,270.828358928676
edmund,9,270.765581269112
hallucination,5,269.941660363865
janeiro,3,269.870956817019
hsa,3,269.838840792055
sheri,6,269.750996291024
bluebeats,6,269.715961707868
thinkbig,5,269.643282875728
wjla,3,269.6238120048
ecoticias,4,269.172806947507
minecraft,4,269.061795875966
ppe,13,269.023733582688
chechen,3,268.686310282704
moist,8,268.668908031534
coramaywilson,28,268.664726843208
abolishthemonarchy,3,268.469737586939
psychedelic,4,268.421776314814
downsides,3,268.067777499149
mercedes,10,268.054306272276
scarlett,4,267.545634736706
qgx,3,267.389852711978
cobra,5,267.285802092068
dawnbritten,6,266.955926449792
interface,3,266.691457181015
kane,7,266.265978729111
lobbies,3,266.264905686048
crzyfkinworld,22,266.187305892264
gaping,3,265.56543449779
incubator,5,265.52909445106
rotterdamvvg,7,265.329893492898
scepticism,3,264.482513599671
lgbtqi,8,264.403911792977
babymetal,3,263.849073019659
miniature,5,263.629474831628
reproduction,5,263.599506828067
embryo,6,263.347425783254
lifelessons,3,263.271722750469
mcafee,9,262.990018822008
buffer,6,262.949424794959
rumble,39,262.914581039312
rejoineu,14,262.726741424128
loading,9,262.68474980055
greener,3,262.451900355094
santaclausalaska,3,262.347733615774
farthest,3,262.210475254772
scrotus,6,262.072063880656
restriction,9,262.007845514426
chili,45,261.855947753221
mep,9,261.27848063789
overweight,6,261.211536243457
npcs,3,260.962321673711
buffet,32,260.960831243979
blockers,6,260.947248819884
waller,5,260.893656496282
titanium,3,260.810914904521
lamb,16,260.80896584793
laney,3,260.616576602487
maia,3,260.576924023086
yolanda,25,260.360807342426
cocoa,8,260.296499894145
micheal,4,260.215775847661
graph,9,259.881115982759
mcdonnell,3,259.519427660692
fsu,8,259.327702228006
meatballs,7,259.046235990706
speedy,7,258.769340201987
publix,16,258.753027357491
reignite,4,258.59927171849
pensioner,3,258.023900701724
meadows,9,257.686879327951
remainers,3,257.571349338392
yawn,16,257.12665491284
bama,11,256.913604155171
coolant,4,256.713036936836
highlands,3,256.656060386918
generative,8,256.376083963718
sciencetech,5,256.36750964192
unbreakable,6,256.288639363251
bjs,3,256.059237937891
assists,10,256.030466937042
rigby,3,255.94009715817
floppy,3,255.88343700469
mens,11,255.84928091643
brooklyndad,3,255.766169251004
decay,7,255.674830688551
miti,5,255.553712553741
goog,3,255.347475674488
rodents,7,255.066471261718
pcworld,3,254.848974885127
inventors,6,254.848517097249
poltava,3,254.778335028707
naomi,6,254.64773053508
potter,12,254.27162760729
wto,31,254.172348605624
plows,4,254.04067915723
affluent,8,253.900676587182
ducking,3,253.85100616963
interviewers,4,253.845589548712
equations,4,253.61831558466
meditate,5,253.499506902873
ahh,9,253.394016854735
cz,15,252.978222288759
cajun,5,252.955925014616
ees,4,252.915499722733
drafts,7,252.898530376645
phelan,3,252.879417905056
jamanetwork,3,252.636761642745
api,3,252.591237641636
volt,4,252.39304665541
stenographer,3,252.168594396685
clippy,3,252.055549433057
bylines,4,252.001818776505
console,14,251.98129182257
strangelove,3,251.851808278863
kickoff,26,251.824652058958
correlation,8,251.504047113134
innovate,5,251.458147611089
dew,8,251.382711929725
kaufman,3,251.122148233351
theneweuropean,3,251.04846809597
celles,3,250.570016828298
promotions,7,250.494178242396
вы,3,250.293827330999
occupyonelove,24,250.19835609233
yoda,8,250.11597310048
opposites,8,250.067990754515
cairns,3,249.994666609777
simonjester,20,249.994289408462
stepheng,3,249.992666559108
rib,18,249.63568880307
sid,3,249.548258525948
wie,4,249.509351862143
lifelike,5,248.822627588409
excels,4,248.75875193984
unsuspecting,5,248.701226374138
sebastiangarof,16,248.677971146086
michellespenc,29,248.513620762391
fireball,6,248.459788832452
competes,3,248.260615751539
targetting,3,248.260615751539
minimise,3,247.954296864026
gaming,56,247.906098687051
bushes,7,247.881500106882
cynthia,13,247.68657821053
thinnest,3,247.683265482349
jivani,3,247.683265482349
damp,11,247.542723585243
fastcompany,4,247.438881342444
baking,28,247.289462052729
allowance,10,247.274116900433
knitted,3,247.205043098504
posterior,3,247.138287874083
soars,7,246.930393122473
merits,13,246.842574144446
downloading,15,246.820023113044
mourns,6,246.763584563579
corr,4,246.739234820893
mortimer,3,246.556957584517
vince,9,246.401490345421
vous,18,246.237922300942
snorting,3,246.115826390746
moons,4,246.108885116595
orca,3,246.06164539264
avec,11,246.025940982579
facilitates,3,245.959346234291
functionality,3,245.894964025971
chargers,8,245.573381526349
toads,4,245.50220637162
hedahunter,30,245.398407005668
whereof,3,245.373864405591
kindly,26,245.328338856631
wavy,7,245.298942982988
meteorite,5,245.294313020094
boe,4,245.190232268743
lmk,3,245.120378589786
avez,3,244.796514136401
reclassify,7,244.578549073026
fta,7,244.543403490007
dune,5,244.430358179994
smashes,10,244.268067681572
fortify,9,244.24839360327
editorially,3,244.219163867212
chowns,3,244.219163867212
palehorse,7,244.05795564637
airpods,4,244.031930970792
galore,4,243.717561944149
nbclosangeles,4,243.661479652953
allowances,10,243.646579199371
anniefortruth,3,243.641813598022
alexa,11,243.628107051413
beats,98,243.425850837335
johnshea,3,243.378306346313
cloned,3,243.335844735899
geomagnetic,13,243.076752677642
newjukeboxcafe,19,243.067410571371
breeder,4,242.982852618588
marveled,3,242.890922020565
tweaks,4,242.612688593706
brewer,4,242.596200849615
linux,12,242.544638190894
ipad,27,242.497939604135
abortionrights,3,242.458931230288
jeremy,20,242.413174906854
mach,4,242.375741360393
sonic,7,242.213306228798
polished,5,242.192485432558
qbk,4,242.139594724476
gros,3,242.116363208548
heavier,11,242.104973476007
piling,11,241.953038268323
drumsticks,3,241.909762790453
implicit,3,241.894605148606
chillin,7,241.892833414185
lag,3,241.715397385713
rethugnican,7,241.71313182208
organised,12,241.586611609772
lawnmower,6,241.46669887723
sod,3,241.406986919048
mro,3,241.340699703414
unauthorizedbeast,9,241.322283356603
gamers,4,241.227935087681
callmemare,35,241.17007493057
noticeable,3,241.155551460048
twister,5,241.081314083029
samsung,10,241.029481829736
ditches,3,241.024894979751
mentalhealth,27,241.024528548078
bagpipes,6,240.999930843697
terminator,6,240.738585745341
dav,3,240.554221192091
pastels,3,240.466906940089
turnover,3,240.433636027352
impregnate,3,240.393427530788
wheeler,9,240.392445342564
excavations,3,240.367080386091
teixeira,3,240.27969812977
repeals,3,240.214487489826
rossellini,3,240.177711982884
sheilaharris,27,240.027936408265
cane,9,239.914568127907
jabs,3,239.900673890953
rampell,3,239.879831026565
diddly,4,239.770028708066
confetti,4,239.683819506727
choppy,3,239.600361713695
twofertuesday,3,239.539140851761
clicked,4,239.453544555097
bacon,67,239.239386272237
worldofmarilyn,7,239.226829997131
stressors,6,239.195038967506
dryer,9,239.174332049054
hippo,5,239.089313855722
slopes,3,239.023011444505
withdrawl,3,239.023011444505
brisket,7,238.998904161664
pedigree,5,238.989539520038
leparisien,3,238.747425815093
scales,7,238.746727726266
bing,6,238.527776160346
boismier,3,238.445661175315
dancingdakini,3,238.445661175315
maloney,3,238.445661175315
dindin,39,238.339260800369
basketball,146,238.332220208303
optimal,5,238.310721538079
cokes,3,238.308623427689
bretbatson,12,238.178870268595
enshrine,3,238.038512290203
pudding,13,237.981576533207
goddammit,10,237.971263437883
smartphone,17,237.943795884658
morbid,5,237.943690817807
smog,3,237.933464088878
lout,3,237.895635381008
zepbound,3,237.868310906126
bloodline,5,237.792977188142
absolves,3,237.792626742995
homer,5,237.747765499489
insensitive,6,237.658368251572
ministerial,7,237.646395983212
unnerving,4,237.598225302014
feller,3,237.369613331895
falcons,6,237.163867399737
clare,14,237.011023529973
consoles,5,236.988818301624
dip,31,236.977976382453
gunn,6,236.971235947882
binoculars,5,236.947251513918
piping,3,236.932479833391
seagull,3,236.747404068837
sherrilyn,21,236.733917339801
wgp,3,236.713610367747
sail,18,236.6553711748
susceptible,11,236.646072514132
golly,8,236.54080741265
fertility,9,236.263094875184
cena,5,236.238650521036
nastazia,3,236.074140896457
hone,3,236.074140896457
infringement,5,236.009957417055
supplement,5,235.988770919296
chorizo,14,235.969266018892
este,3,235.937138520694
